beta,leakage,utility,mask_size
8.5,1.0,-86.0,10
8.5,1.0,-86.0,10
8.5,1.0,-86.0,10
8.5,1.0,-86.0,10
8.5,1.0,-86.0,10
8.5,1.0,-86.0,10
8.5,1.0,-86.0,10
8.5,1.999955756559757e-12,-34.000000000002,4
8.5,1.0,-9.5,1
8.5,1.0,-9.5,1
8.5,1.0,-26.5,3
8.5,1.0,-35.0,4
8.5,0.0,-51.0,6
8.5,0.0,-42.5,5
8.5,9.999778782798785e-13,-42.500000000001,5
8.5,1.0,-9.5,1
8.5,9.999778782798785e-13,-34.000000000001,4
8.5,1.0,-69.0,8
8.5,0.0,-68.0,8
8.5,0.0,-76.5,9
8.5,1.0,-77.5,9
8.5,1.0,-1.0,0
8.5,0.0,-85.0,10
8.5,1.0,-9.5,1
8.5,0.0,-68.0,8
8.5,0.0,-76.5,9
8.5,1.0,-1.0,0
beta,leakage,utility,mask_size
9.0,1.0,-19.0,2
9.0,0.0,-90.0,10
9.0,0.0,-90.0,10
9.0,0.0,-90.0,10
9.0,1.0,-91.0,10
9.0,1.0,-82.0,9
9.0,1.0,-1.0,0
9.0,1.0,-82.0,9
9.0,1.0,-91.0,10
9.0,1.0,-91.0,10
9.0,1.0,-91.0,10
9.0,1.0,-73.0,8
9.0,1.0,-46.0,5
9.0,1.0,-91.0,10
9.0,1.0,-91.0,10
9.0,1.0,-91.0,10
9.0,1.0,-37.0,4
9.0,1.0,-28.0,3
9.0,1.0,-91.0,10
9.0,1.0,-91.0,10
9.0,1.0,-91.0,10
9.0,1.0,-91.0,10
9.0,1.0,-64.0,7
9.0,1.0,-91.0,10
9.0,1.0,-91.0,10
9.0,1.0,-91.0,10
9.0,1.0,-91.0,10
9.0,1.0,-91.0,10
9.0,1.0,-91.0,10
9.0,1.0,-91.0,10
9.0,0.0,-54.0,6
